assay,xponent_id,cv
AFP,Standard1,4.044827961581038
AFP,Standard2,0.9256036798901819
AFP,Standard3,1.1578092448152602
AFP,Standard4,1.091389853063659
AFP,Standard5,0.7890892350469623
AFP,Standard6,0.826367689554327
CA15-3,Standard1,143.74885812401328
CA15-3,Standard2,4.152174053892435
CA15-3,Standard3,1.0777097169145964
CA15-3,Standard4,0.5102326725153563
CA15-3,Standard5,0.5025342576024074
CA15-3,Standard6,0.5822212886401711
CCL20,Standard1,26.823132277530892
CCL20,Standard2,9.384085614450527
CCL20,Standard3,6.175764193783818
CCL20,Standard4,6.739180332884997
CCL20,Standard5,15.856455122918891
CCL20,Standard6,8.727930180823419
CEA,Standard1,0.9106817643195327
CEA,Standard2,1.3831766232851028
CEA,Standard3,1.5719781457743112
CEA,Standard4,2.4006642382358967
CEA,Standard5,2.3127848831641353
CEA,Standard6,14.900306751085653
cMET,Standard1,1.1059772946362807
cMET,Standard2,1.6050692906833692
cMET,Standard3,1.401579937178173
cMET,Standard4,1.5658597315020943
cMET,Standard5,3.163670242717637
cMET,Standard6,2.4693114228754096
EGF,Standard1,5.893940610070683
EGF,Standard2,0.2682456473354371
EGF,Standard3,0.6757336255736759
EGF,Standard4,1.0084519775848062
EGF,Standard5,0.6752742469788765
EGF,Standard6,2.520048191374696
FLT3L,Standard1,6.265489255365185
FLT3L,Standard2,9.1827423325935
FLT3L,Standard3,7.3357271621919695
FLT3L,Standard4,9.958222188175405
FLT3L,Standard5,10.493910295096624
FLT3L,Standard6,15.826767160668934
HGF,Standard1,2.1894996534624616
HGF,Standard2,1.835162551306136
HGF,Standard3,1.158002152109035
HGF,Standard4,1.1488794352766398
HGF,Standard5,0.981960761750851
HGF,Standard6,4.898612415904538
IL-1 R2,Standard1,0.8485117971776862
IL-1 R2,Standard2,0.5176112770707813
IL-1 R2,Standard3,1.1968964167018112
IL-1 R2,Standard4,1.2717255018217304
IL-1 R2,Standard5,1.127455335779278
IL-1 R2,Standard6,2.106052865267451
IL-6,Standard1,3.4167280882355806
IL-6,Standard2,0.5380072447307737
IL-6,Standard3,0.6084147222195224
IL-6,Standard4,0.8476133182280037
IL-6,Standard5,0.8200354125678352
IL-6,Standard6,0.9925119823440748
IL-6Ra,Standard1,9.40543654330425
IL-6Ra,Standard2,2.9576932531730056
IL-6Ra,Standard3,2.8230541347596843
IL-6Ra,Standard4,5.8023936548430495
IL-6Ra,Standard5,2.687579516822123
IL-6Ra,Standard6,11.35077829838181
IL-8,Standard1,6.26473554523429
IL-8,Standard2,1.7103889618619104
IL-8,Standard3,3.035327488459112
IL-8,Standard4,3.309365110819924
IL-8,Standard5,3.238207143612525
IL-8,Standard6,1.4996236764754565
KLK3,Standard1,21.696727376000187
KLK3,Standard2,3.1720636717241675
KLK3,Standard3,6.0616302518543375
KLK3,Standard4,5.066485806376914
KLK3,Standard5,4.821453440554388
KLK3,Standard6,4.556717835181346
MIF,Standard1,7.991565817659469
MIF,Standard2,0.6087040899812908
MIF,Standard3,1.3439941844184367
MIF,Standard4,2.538288661751187
MIF,Standard5,4.316554455309425
MIF,Standard6,23.383809735257927
MUC-16,Standard1,4.097072187617844
MUC-16,Standard2,0.49149826445848
MUC-16,Standard3,0.8888345889246532
MUC-16,Standard4,1.1466477708291472
MUC-16,Standard5,0.8812555967967487
MUC-16,Standard6,2.21537197718615
OPN,Standard1,2.516831464531382
OPN,Standard2,1.1775496409941502
OPN,Standard3,1.4859036913401074
OPN,Standard4,2.4273858502299785
OPN,Standard5,1.935953561056195
OPN,Standard6,5.68066785943683
THBS2,Standard1,2.6343894180495986
THBS2,Standard2,0.7373272504713304
THBS2,Standard3,2.2468067985176816
THBS2,Standard4,2.205457134215759
THBS2,Standard5,1.5800257437457361
THBS2,Standard6,11.085368925761891
TNC,Standard1,19.54626800517442
TNC,Standard2,5.308235489750974
TNC,Standard3,3.939224930190352
TNC,Standard4,5.520098848814081
TNC,Standard5,9.296692653557416
TNC,Standard6,54.88134032136202
uPAR,Standard1,6.303942609518364
uPAR,Standard2,1.655636053258349
uPAR,Standard3,1.5393774123387634
uPAR,Standard4,2.338224024061651
uPAR,Standard5,2.917403874659754
uPAR,Standard6,16.74000075948047
WFDC2,Standard1,3.508876985206518
WFDC2,Standard2,1.198646597482294
WFDC2,Standard3,1.6869084285040723
WFDC2,Standard4,1.2369729790238293
WFDC2,Standard5,0.7628639758260819
WFDC2,Standard6,8.987588372854486
