avg_background_mfi,upper_limit,lower_limit,assay
123.54907161803445,95.27945516593529,151.8186880701336,AFP
80.62102122017512,52.35140476807598,108.89063767227427,CA15-3
85.0444297082476,56.77481325614846,113.31404616034675,CCL20
167.42274535812942,139.15312890603025,195.6923618102286,EGF
201.49071618029421,173.22109972819507,229.76033263239336,FLT3L
46.953912466891836,18.68429601479269,75.22352891899098,HGF
84.78282493372456,56.51320848162541,113.0524413858237,IL-1 R2
43.94761273203828,15.67799627993912,72.21722918413744,IL-6
53.98043766579556,25.71082121369641,82.25005411789472,IL-8
110.689655172402,82.42003872030284,138.95927162450116,KLK3
55.69562334216896,27.426006890069804,83.96523979426811,MUC-16
61.02486737402504,32.75525092192589,89.29448382612419,OPN
146.0931834662915,117.82781271166874,174.35855422091424,CEA
64.30130529366565,36.035934539042906,92.5666760482884,IL-6Ra
268.6370558376002,240.37168508297745,296.9024265922229,MIF
131.94289340101028,103.67752264638753,160.20826415563303,THBS2
157.4894851341487,129.22411437952596,185.75485588877146,TNC
79.44670050761073,51.18132975298799,107.71207126223347,WFDC2
73.22081218271813,44.95544142809539,101.48618293734089,cMET
83.50615942027852,55.24079237753582,111.77152646302122,uPAR
